[Normal]Item: Anh Hµo B¹ch Hång §ao(0,1,8692,1,2,10), unbind = 0, bind = 60000
[Normal]Item: Long ChiÕn Vu D· - KiÕm DiÖu(0,1,5656,0,5,10), unbind = 0, bind = 50
[Normal]Item: Ngò Hµnh Ên(0,1,3233,0,5,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö Song Hµnh Ngäc Béi(0,1,4480,1,4,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö §ång T©m Chi Liªn(0,1,4435,1,0,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i H¹ Giíi(0,1,4134,0,1,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i Th­îng Giíi(0,1,4133,0,0,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Hµi(0,1,5224,0,0,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Gi¸p Y(0,1,5223,1,3,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Yªu §¸i(0,1,5222,0,1,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Hé UYÓn(0,1,5221,1,2,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Kh«i(0,1,5219,1,4,10), unbind = 0, bind = 50
[Normal]Item: Phôc Ma ¤ Kim NhuyÔn §iÒu(0,1,7,0,3,10), unbind = 0, bind = 50
[Normal]Item: [Cùc phÈm] §éng S¸t B¹ch Kim §iªu Long Giíi(0,1,493,0,3,10), unbind = 0, bind = 50
[Normal]Item: [Cùc phÈm] §éng S¸t B¹ch Ngäc Cµn Kh«n Béi(0,1,494,1,4,10), unbind = 0, bind = 50
[Normal]Item: [Cùc phÈm] §éng S¸t B¹ch Kim Tó Phông Giíi(0,1,495,0,0,10), unbind = 0, bind = 50
[Normal]Item: [Cùc phÈm] §éng S¸t PhØ Thóy Ngäc H¹ng Khuyªn(0,1,496,1,2,10), unbind = 0, bind = 50
[Normal]Item: Th­îng giíi Cæ Th¸p - Kh¸ng Hoµnh(0,1,5359,1,1,1), unbind = 0, bind = 50
[Normal]Item: H¹ giíi Cæ Th¸p - Kh¸ng Hoµnh(0,1,5360,0,2,1), unbind = 0, bind = 50
