[Normal]Item: Long T­¬ng Chi L©n Kh«i(0,1,5219,1,4,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Hé UYÓn(0,1,5221,1,2,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Yªu §¸i(0,1,5222,0,1,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Gi¸p Y(0,1,5223,1,3,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Hµi(0,1,5224,0,0,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i Th­îng Giíi(0,1,4133,0,0,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i H¹ Giíi(0,1,4134,0,1,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö §ång T©m Chi Liªn(0,1,4435,1,0,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö Song Hµnh Ngäc Béi(0,1,4480,1,4,10), unbind = 0, bind = 50
[Enchasable]Item: (0,2,0,0,2,10),¼Ó±ùÉËº¦=(100,0),¼ÓÉËº¦Ç¿»¯=(93,0),¼Ó¹¥»÷ËÙ¶È=(30,0),ÍµÑª=(10,0),¼ÓÎïÀíÉËº¦=(46,0),¼Ó¼¼ÄÜ=(2,0), unbind = 0, bind = 0
[Normal]Item: Ngò Hµnh Ên(0,1,3233,0,5,10), unbind = 0, bind = 50
[Normal]Item: Long ChiÕn Vu D· - KiÕm DiÖu(0,1,5656,0,5,10), unbind = 0, bind = 50
[Normal]Item: Anh Hµo B¹ch Hång §ao(0,1,8692,1,2,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa H¹ng Liªn(0,1,8636,1,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa §Çu Hoµn(0,1,8637,5,2,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Th­îng Giíi(0,1,8638,0,1,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Hé UyÓn(0,1,8639,1,3,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Thóc Yªu(0,1,8640,0,4,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa C¸i Y(0,1,8641,5,0,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Ngoa(0,1,8643,0,1,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Yªu Trôy(0,1,8644,1,3,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa H¹ Giíi(0,1,8645,0,4,10), unbind = 0, bind = 60000
[Enchasable]Item: (0,2,0,2,2,10),¼Ó±ùÉËº¦=(100,0),¼ÓÎïÀíÉËº¦=(46,0),¼Ó¹¥»÷ËÙ¶È=(30,0),¼ÓÉËº¦Ç¿»¯=(99,0),¼ÓºÚ°µ´¦ÊÓÒ°·¶Î§=(6,0),¼Ó¼¼ÄÜ=(2,0), unbind = 0, bind = 0
[Normal]Item: Anh Hµo B¹ch Hång §ao(0,1,8692,1,2,10), unbind = 0, bind = 60000
[Normal]Item: Long ChiÕn Vu D· - KiÕm DiÖu(0,1,5656,0,5,10), unbind = 0, bind = 50
[Normal]Item: Ngò Hµnh Ên(0,1,3233,0,5,10), unbind = 0, bind = 50
[Enchasable]Item: (0,2,0,0,2,10),¼Ó±ùÉËº¦=(100,0),¼ÓÉËº¦Ç¿»¯=(93,0),¼Ó¹¥»÷ËÙ¶È=(30,0),ÍµÑª=(10,0),¼ÓÎïÀíÉËº¦=(46,0),¼Ó¼¼ÄÜ=(2,0), unbind = 0, bind = 0
[Normal]Item: Huynh §Ö Song Hµnh Ngäc Béi(0,1,4480,1,4,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö §ång T©m Chi Liªn(0,1,4435,1,0,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i H¹ Giíi(0,1,4134,0,1,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i Th­îng Giíi(0,1,4133,0,0,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Hµi(0,1,5224,0,0,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Gi¸p Y(0,1,5223,1,3,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Yªu §¸i(0,1,5222,0,1,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Hé UYÓn(0,1,5221,1,2,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Kh«i(0,1,5219,1,4,10), unbind = 0, bind = 50
[Normal]Item: Anh Hµo Tr­êng Phong TriÒn Thñ(0,1,8632,6,3,10), unbind = 0, bind = 60000
[Normal]Item: Anh Hµo Liªn Hoa Tr­îng(0,1,8642,2,2,10), unbind = 0, bind = 60000
[Normal]Item: Long T­¬ng Chi L©n Kh«i(0,1,5219,1,4,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Hé UYÓn(0,1,5221,1,2,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Yªu §¸i(0,1,5222,0,1,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Gi¸p Y(0,1,5223,1,3,10), unbind = 0, bind = 50
[Normal]Item: Long T­¬ng Chi L©n Hµi(0,1,5224,0,0,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i Th­îng Giíi(0,1,4133,0,0,10), unbind = 0, bind = 50
[Normal]Item: §éc C« CÇu B¹i H¹ Giíi(0,1,4134,0,1,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö §ång T©m Chi Liªn(0,1,4435,1,0,10), unbind = 0, bind = 50
[Normal]Item: Huynh §Ö Song Hµnh Ngäc Béi(0,1,4480,1,4,10), unbind = 0, bind = 50
[Enchasable]Item: (0,2,0,0,2,10),¼Ó±ùÉËº¦=(100,0),¼ÓÉËº¦Ç¿»¯=(93
